"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20"
0,0,0,80,175,512,1156,2818,5915,12609,23972,44520,67040,93370,110911,106019,78408,46887,16844,2842
0,0,0,55,206,653,1925,5814,13664,28774,52036,80225,98414,103444,90552,65728,38089,19632,7489,1519
0,0,0,37,92,366,1306,4681,11984,27665,51165,82610,105838,112088,93922,62996,31418,14169,4811,935
0,0,0,76,121,295,600,1597,3560,8844,20714,46628,75689,104636,113279,99897,65965,40913,19438,4459
0,0,0,153,171,539,1289,3679,7969,16968,31031,54137,75465,94090,98413,90481,63937,39634,20716,7945
0,0,0,61,112,466,1566,5515,13914,30005,54913,87121,103976,106343,86027,60799,31636,15048,5828,2124
0,0,0,259,712,2589,7373,18161,35739,60231,84871,102497,101678,83162,55249,31374,14068,5752,1836,386
0,0,0,87,156,563,1664,5766,13505,29965,56121,93120,112518,114951,87334,53295,23907,9785,3087,706
0,0,0,32,37,183,545,1900,5109,14236,32978,63952,93198,114921,109130,84491,49917,24553,9303,2169
0,0,0,190,230,659,1734,4638,10133,20916,37530,62061,80094,92502,94015,82564,56724,35481,19201,8532
0,0,0,231,352,1028,2377,5535,10445,21027,39038,70566,105980,120070,101112,73590,33366,15865,6418,1654
0,0,0,73,143,485,1466,4763,12029,29674,61538,106245,127480,118546,81054,41150,14556,5002,1200,280
0,0,0,55,76,255,734,2488,5751,14794,31477,63061,92932,115664,112226,85687,48597,22472,7596,1983
0,0,0,30,58,239,1080,4049,11959,31268,66857,117167,127350,108211,73454,39798,16678,6284,1860,378
0,0,0,121,154,443,1056,3406,7237,15795,31286,58081,84873,107677,108020,89565,54312,29116,11732,3679
0,0,0,144,318,913,2408,7720,15885,32611,56926,92764,109653,115843,89565,52253,23516,9678,2944,532
0,0,0,51,223,971,3251,10311,23710,45557,74713,103653,110070,98698,70776,41686,18015,7260,2154,423
0,0,0,28,77,399,1453,6183,17140,37989,69091,103329,108080,102126,82401,50210,18815,7998,2530,564
0,0,0,213,324,893,2221,5901,12007,24850,41069,66239,86097,98972,92726,81084,48656,27799,15037,4698
0,0,0,618,1302,2965,5971,12200,19854,31719,42591,58361,69618,76705,78146,74160,56872,40936,24607,12149
0,0,0,256,1002,3244,8506,22813,44392,70362,90779,104546,89918,72758,48497,28703,13403,5948,2382,847
0,0,0,28,92,464,1504,5509,15082,34999,65840,102962,120242,116497,76587,46704,13939,4948,1569,449
0,0,0,112,288,867,2361,7174,15900,31603,51556,87431,101376,108719,86990,64062,29501,13622,5728,1426
0,0,0,11,18,69,211,1263,3927,12349,30692,74551,106325,131124,112010,76486,37062,15471,4949,1105
0,0,0,247,325,1148,2707,7362,14486,27824,44491,68331,80168,89450,82035,75007,50718,31721,19598,10786
0,0,0,119,231,743,1978,5614,12412,25839,45676,77942,101793,116412,96219,75783,29725,10838,4549,1445
0,0,0,125,316,1123,3087,9811,23204,52149,85962,116936,113366,88363,56351,31915,13904,6205,2391,1211
0,0,0,158,364,1131,2909,8686,19325,37808,61530,99874,112511,100041,77806,47897,21891,10303,3296,771
0,0,0,135,355,1103,3070,8464,19049,38979,63086,97470,108505,102620,77918,52580,21579,7829,3275,920
0,0,0,394,752,2159,4866,11793,22179,40277,62686,92833,103513,103148,79853,52720,19790,7159,2154,758
